[21-Jul-2016 05:50:01 Europe/Berlin] PHP Fatal error:  Call to undefined method fsm\Services::getAllZonesProgramsModulesAndPivileges() in C:\xampp\htdocs\Espresso\source\server\services\Controller.php on line 464
[21-Jul-2016 05:50:09 Europe/Berlin] PHP Fatal error:  Call to undefined method fsm\Services::getAllZonesProgramsModulesAndPivileges() in C:\xampp\htdocs\Espresso\source\server\services\Controller.php on line 464
[21-Jul-2016 05:53:49 Europe/Berlin] PHP Warning:  Missing argument 1 for fsm\database\PrivilegesDAO::__construct(), called in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 626 and defined in C:\xampp\htdocs\Espresso\source\server\dao\PrivilegesDAO.php on line 14
[21-Jul-2016 05:53:49 Europe/Berlin] PHP Notice:  Undefined variable: dataBaseConnection in C:\xampp\htdocs\Espresso\source\server\dao\PrivilegesDAO.php on line 16
[21-Jul-2016 05:53:49 Europe/Berlin] PHP Notice:  Undefined variable: privilegeTable in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 05:53:49 Europe/Berlin] PHP Fatal error:  Call to a member function selectDefault() on null in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 05:53:57 Europe/Berlin] PHP Warning:  Missing argument 1 for fsm\database\PrivilegesDAO::__construct(), called in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 626 and defined in C:\xampp\htdocs\Espresso\source\server\dao\PrivilegesDAO.php on line 14
[21-Jul-2016 05:53:57 Europe/Berlin] PHP Notice:  Undefined variable: dataBaseConnection in C:\xampp\htdocs\Espresso\source\server\dao\PrivilegesDAO.php on line 16
[21-Jul-2016 05:53:57 Europe/Berlin] PHP Notice:  Undefined variable: privilegeTable in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 05:53:57 Europe/Berlin] PHP Fatal error:  Call to a member function selectDefault() on null in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 06:10:56 Europe/Berlin] PHP Notice:  Undefined variable: privilegeTable in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 06:10:56 Europe/Berlin] PHP Fatal error:  Call to a member function selectDefault() on null in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 633
[21-Jul-2016 06:11:25 Europe/Berlin] PHP Notice:  Undefined variable: progam in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 660
[21-Jul-2016 06:11:25 Europe/Berlin] PHP Notice:  Undefined variable: progam in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 660
[21-Jul-2016 06:11:25 Europe/Berlin] PHP Notice:  Undefined variable: progam in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 660
[21-Jul-2016 06:11:25 Europe/Berlin] PHP Notice:  Undefined variable: progam in C:\xampp\htdocs\Espresso\source\server\services\Services.php on line 660
